rank,id,player,team,pos,game.week,opp,rush_att,rush_yds,rush_yds_per_att,rush_td,rec_tgt,rec,rec_yds,rec_td,fum,fum_lost,fpts_ppr
84,20039,Boston Scott,LA,RB,2,ARI,1.0,4.9,4.9,0.0,0.3,0.2,1.7,0.0,0.0,0.0,1.1
85,24188,Deuce Vaughn,DAL,RB,2,NO,1.1,4.8,4.4,0.0,0.4,0.3,3.3,0.0,0.0,0.0,1.1
86,24939,Carson Steele,KC,RB,2,CIN,1.8,7.0,3.9,0.0,0.6,0.2,1.6,0.0,0.0,0.0,1.1
87,24310,Jordan Mims,NO,RB,2,DAL,1.8,7.1,3.9,0.0,0.4,0.2,1.1,0.0,0.0,0.0,1.0
88,23636,Zander Horvath,NO,RB,2,DAL,0.4,0.9,,0.0,,0.2,0.4,0.1,,,0.9
89,24991,Jawhar Jordan,HOU,RB,2,CHI,1.2,5.6,4.7,0.0,0.3,0.2,1.3,0.0,0.0,0.0,0.9
90,25067,Daijun Edwards,PIT,RB,2,DEN,1.2,4.9,4.2,0.0,0.1,0.1,1.0,0.0,0.0,0.0,0.9
91,19319,Matt Breida,SF,RB,2,MIN,0.7,3.7,5.3,0.0,0.2,0.1,1.2,0.0,0.0,0.0,0.9
92,18957,D'Onta Foreman,CLE,RB,2,JAC,1.6,6.2,3.9,0.0,0.3,0.1,1.2,0.0,0.0,0.0,0.8
93,25102,Will Shipley,PHI,RB,2,ATL,0.6,3.4,5.7,0.0,0.4,0.3,1.9,0.0,0.0,0.0,0.8
94,21843,Salvon Ahmed,MIA,RB,2,BUF,0.5,2.5,,0.0,,0.3,2.2,0.0,,,0.8
95,23298,Raheem Blackshear,CAR,RB,2,LAC,0.4,2.0,5.0,0.0,0.7,0.3,2.3,0.0,0.0,0.0,0.7
96,24312,Jacob Saylors,NYG,RB,2,WAS,0.4,1.7,,0.0,,0.2,1.6,0.0,,,0.7
97,25049,Cody Schrader,SF,RB,2,MIN,0.7,4.0,5.7,0.0,0.3,0.2,0.9,0.0,0.0,0.0,0.7
98,18652,C.J. Ham,MIN,RB,2,SF,0.1,0.6,6.0,0.0,0.7,0.0,5.3,0.0,0.0,0.0,0.6
99,23198,Isaiah Spiller,LAC,RB,2,CAR,0.7,2.8,4.0,0.0,0.3,0.2,1.1,0.0,0.0,0.0,0.6
100,20819,Alec Ingold,MIA,RB,2,BUF,1.0,3.2,3.2,0.0,0.2,0.0,2.4,0.0,0.0,0.0,0.6
101,21564,Craig Reynolds,DET,RB,2,TB,0.5,2.2,4.4,0.0,0.3,0.2,1.2,0.0,0.0,0.0,0.5
102,22676,Kene Nwangwu,MIN,RB,2,SF,1.1,3.2,2.9,0.0,0.2,0.1,1.1,0.0,0.0,0.0,0.5
103,21804,DeeJay Dallas,ARI,RB,2,LA,0.3,1.7,5.7,0.0,0.4,0.2,1.4,0.0,0.0,0.0,0.5
104,24626,Elijah Dotson,LAC,RB,2,CAR,0.7,2.9,4.1,0.0,0.3,0.1,1.2,0.0,0.0,0.0,0.5
105,16815,Ameer Abdullah,LV,RB,2,BAL,0.4,1.5,3.8,0.0,0.4,0.2,1.5,0.0,0.0,0.0,0.5
106,24930,Sione Vaki,DET,RB,2,TB,0.9,3.2,3.6,0.0,0.2,0.1,0.5,0.0,0.0,0.0,0.5
107,23273,Hassan Haskins,TEN,RB,2,NYJ,0.8,2.8,3.5,0.0,0.2,0.1,0.9,0.0,0.0,0.0,0.5
108,21593,D'Ernest Johnson,JAC,RB,2,CLE,0.6,2.6,4.3,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.5
109,22676,Kene Nwangwu,NO,RB,2,DAL,0.5,2.8,5.6,0.0,0.2,0.1,0.7,0.0,0.0,0.0,0.5
110,24178,Israel Abanikanda,NYJ,RB,2,TEN,0.2,0.9,4.5,0.0,0.4,0.2,1.4,0.0,0.0,0.0,0.4
111,24373,Kenny McIntosh,SEA,RB,2,NE,0.5,2.4,4.8,0.0,0.2,0.1,0.9,0.0,0.0,0.0,0.4
112,25047,Blake Watson,DEN,RB,2,PIT,0.3,1.3,4.3,0.0,0.2,0.2,0.9,0.0,0.0,0.0,0.4
113,21688,Cam Akers,HOU,RB,2,CHI,0.7,2.1,3.0,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.4
114,23273,Hassan Haskins,LAC,RB,2,CAR,0.7,2.4,3.4,0.0,0.2,0.1,0.5,0.0,0.0,0.0,0.4
115,25054,Dylan Laube,LV,RB,2,BAL,0.4,1.9,4.7,0.0,0.2,0.1,0.7,0.0,0.0,0.0,0.4
116,24194,Sean Tucker,TB,RB,2,DET,0.3,1.4,4.7,0.0,0.2,0.1,1.0,0.0,0.0,0.0,0.3
117,23847,Zonovan Knight,DET,RB,2,TB,0.1,0.5,3.5,0.0,0.0,0.1,0.8,0.0,0.0,0.0,0.3
118,21765,JaMycal Hasty,NE,RB,2,SEA,0.3,1.1,3.7,0.0,0.2,0.1,0.9,0.0,0.0,0.0,0.3
119,24278,Hunter Luepke,DAL,RB,2,NO,0.3,1.1,3.7,0.0,0.1,0.0,1.8,0.0,0.0,0.0,0.3
120,22674,Deon Jackson,NYJ,RB,2,TEN,0.2,1.0,4.0,0.0,0.2,0.1,0.5,0.0,0.0,0.0,0.2
