"Player","Tm","Pos","Opp","PaCom","PaAtt","PaYds","PaTDs","INT","RuAtt","RuYds","RuTDs","Tar","Rec","ReYds","ReTDs","Fum","FGM","39M","49M","50M","XPM","Sks","FR","DINT","DTD","PPG","Yds","0.5","PPR","Non"
"Jahmyr Gibbs","DET","RB","TB","0.0","0.0","0.0","0.0","0.0","11.2","52.5","0.4","4.2","3.7","27.7","0.2","0.1","","","","","","","","","","","","13.6","15.4","11.7"
"De'Von Achane","MIA","RB","BUF","0.0","0.0","0.0","0.0","0.0","9.9","50.0","0.3","4.4","3.7","30.0","0.2","0.1","","","","","","","","","","","","13.0","14.9","11.2"
"Joe Mixon","HOU","RB","CHI","0.0","0.0","0.0","0.0","0.0","17.4","67.8","0.4","2.9","2.4","16.8","0.1","0.1","","","","","","","","","","","","12.9","14.1","11.7"
"Alvin Kamara","NO","RB","DAL","0.0","0.0","0.0","0.0","0.0","11.6","48.5","0.2","6.0","4.8","32.7","0.2","0.1","","","","","","","","","","","","12.8","15.2","10.5"
"Deebo Samuel","SF","WR","MIN","0.0","0.0","0.0","0.0","0.0","4.0","20.6","0.1","7.7","5.0","65.3","0.4","0.1","","","","","","","","","","","","14.3","16.8","11.7"
"Rhamondre Stevenson","NE","RB","SEA","0.0","0.0","0.0","0.0","0.0","15.2","62.4","0.3","4.7","3.2","21.8","0.1","0.1","","","","","","","","","","","","12.5","14.1","10.9"
"Derrick Henry","BAL","RB","LV","0.0","0.0","0.0","0.0","0.0","17.6","71.7","0.6","1.6","1.2","8.9","0.1","0.1","","","","","","","","","","","","12.4","13.0","11.8"
"James Conner","ARI","RB","LA","0.0","0.0","0.0","0.0","0.0","15.7","64.8","0.4","2.8","2.2","14.9","0.1","0.1","","","","","","","","","","","","12.2","13.3","11.1"
"Travis Etienne Jr.","JAC","RB","CLE","0.0","0.0","0.0","0.0","0.0","13.7","53.5","0.4","3.8","3.0","22.8","0.1","0.1","","","","","","","","","","","","12.2","13.7","10.7"
"A.J. Brown","PHI","WR","ATL","0.0","0.0","0.0","0.0","0.0","0.1","0.6","0.0","8.2","5.4","77.2","0.5","0.1","","","","","","","","","","","","13.7","16.4","11.0"
"Kenneth Walker III","SEA","RB","NE","0.0","0.0","0.0","0.0","0.0","14.4","63.4","0.4","2.8","2.2","15.8","0.1","0.1","","","","","","","","","","","","12.0","13.1","10.9"
"David Montgomery","DET","RB","TB","0.0","0.0","0.0","0.0","0.0","14.9","67.3","0.5","1.6","1.4","9.9","0.1","0.1","","","","","","","","","","","","12.0","12.7","11.3"
